Candidate,Plurality Result,STV Result,Difference
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,True,True,False
Jane Hughes Redding,True,True,False
Joey Trogdon,False,False,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,True,True
Jane Hughes Redding,True,True,False
Joey Trogdon,True,False,True
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,True,True
Jane Hughes Redding,True,False,True
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,True,True,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,True,False,True
Jane Hughes Redding,False,True,True
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,True,True,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,False,False,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
